,group,rmse
0,qp02z5,0.11025635979979445
1,qp02z6,0.1192445862984687
2,qp02z7,0.10498799305968927
3,qp02z9,0.1281617625577662
4,qp02zc,0.0988365947807895
5,qp02zd,0.12083806500569784
6,qp02ze,0.10607820528594324
7,qp02zh,0.11017733033461478
8,qp02zj,0.160089159385222
9,qp02zk,0.10913893938912739
10,qp02zm,0.09904255556090065
11,qp02zn,0.0933904047127483
12,qp02zp,0.07295660301622807
13,qp02zq,0.07381740627801389
14,qp02zr,0.09423451519835767
15,qp02zs,0.08992300785727031
16,qp02zt,0.12502695043515374
17,qp02zu,0.10942266949655015
18,qp02zv,0.06634784020361197
19,qp02zx,0.2948747035384142
20,qp02zy,0.08256331542108261
21,qp03jq,0.020166987119925414
22,qp03jr,0.019543716854857847
23,qp03jw,0.030700525817150295
24,qp03jx,0.03289125660830541
25,qp03jy,0.026901262772181824
26,qp03m2,0.031449122473589816
27,qp03m3,0.031130680512378727
28,qp03m6,0.03793961983680836
29,qp03m7,0.02180620834748852
30,qp03m8,0.03887480754717397
31,qp03mc,0.04403161474963523
32,qp03md,0.03524463823696399
33,qp03mk,0.024444543791920008
34,qp03mm,0.02409965562174572
35,qp03mq,0.019429193615117114
36,qp03mr,0.026123530538816865
37,qp03ms,0.029688359761438583
38,qp03mt,0.01362937954287046
39,qp03mu,0.015127306388824714
40,qp03mx,0.03753704256243478
41,qp03my,0.0352823456608848
42,qp03mz,0.02829955004931744
43,qp03nb,0.08903457443217175
44,qp03nd,0.1079699631257806
45,qp03nf,0.10661005789494515
46,qp03np,0.078973506971855
47,qp03nr,0.07222631987963066
48,qp03nw,0.0935008228766796
49,qp03nz,0.0795487665144001
50,qp03p0,0.1244465575762925
51,qp03p1,0.13232073918189846
52,qp03p2,0.27124805223944326
53,qp03p3,0.10223697632522177
54,qp03p4,0.11770293897525132
55,qp03p6,0.12144409027751467
56,qp03p7,0.07673906401402229
57,qp03p8,0.047503755941911203
58,qp03p9,0.08784409396023683
59,qp03pb,0.06936106622328714
60,qp03pc,0.07593919156426121
61,qp03pd,0.10320799602958988
62,qp03pe,0.06373244606057754
63,qp03pf,0.09171255870579334
64,qp03pk,0.08766300179186119
65,qp03pp,0.0668574217536282
66,qp03ps,0.09469263807727465
67,qp03pt,0.09289056519292442
68,qp03pv,0.07867040115547104
69,qp03pw,0.09407725499392393
70,qp03pz,0.06928751375508176
71,qp03q0,0.06536996924053681
72,qp03q1,0.023942009418585264
73,qp03q2,0.028091941322603155
74,qp03q4,0.059257235274500296
75,qp03q5,0.05007488072417007
76,qp03q6,0.031462759931810545
77,qp03q7,0.058373800460128356
78,qp03q8,0.050113549009866025
79,qp03q9,0.05410421015306133
80,qp03qe,0.05777024979823166
81,qp03qf,0.16022927895465036
82,qp03qg,0.2036584170835807
83,qp03qj,0.23202145134897784
84,qp03qk,0.09917287328511591
85,qp03qn,0.05225568622220385
86,qp03qq,0.08870872224073915
87,qp03qr,0.1122702936257351
88,qp03qt,0.1503576843550868
89,qp03qu,0.05249239165688217
90,qp03qv,0.051734025919290355
91,qp03qw,0.14053493946458792
92,qp03qx,0.1408612893630539
93,qp03qz,0.12914252717470903
94,qp03r0,0.09949901171653504
95,qp03r1,0.08289979208248184
96,qp03r3,0.06203799963034468
97,qp03r7,0.1090333164177595
98,qp03r9,0.06204243356211635
99,qp03rb,0.08511699959064242
100,qp03rc,0.10483131990372045
101,qp03re,0.14959437899941408
102,qp03rf,0.17111160973477985
103,qp03rg,0.05917283736539599
104,qp03rj,0.027440660185721805
105,qp03rk,0.03461512911476673
106,qp03rm,0.07364141347497997
107,qp03rp,0.07420452822913565
108,qp03rq,0.07438811175751629
109,qp03rs,0.0768501602941263
110,qp03rt,0.04859767698640344
111,qp03ru,0.06708199914903652
112,qp03rv,0.05476195840175919
113,qp03rw,0.09240568740337082
114,qp03rz,0.06018131971685238
115,qp03t2,0.02837746894546283
116,qp03t3,0.021017485074039773
117,qp03t7,0.019422220428033612
118,qp03t8,0.020411313058118385
119,qp03tb,0.02312603577711803
120,qp03td,0.02501516499648949
121,qp03te,0.030263360718819663
122,qp03tf,0.024531677969321476
123,qp03tm,0.02557665765187355
124,qp03ts,0.034399224023568604
125,qp03tt,0.028605150743143126
126,qp03tu,0.017215213699177886
127,qp03tv,0.020337576990176635
128,qp03tw,0.027093199519694973
129,qp03tx,0.02681739926789631
130,qp03ty,0.03312863748835432
131,qp03tz,0.034686190612566906
132,qp03v9,0.026128978604766658
133,qp03vb,0.027950232584597966
134,qp03w0,0.04967355551903794
135,qp03w1,0.07683719419305765
136,qp03w2,0.10301743796060141
137,qp03w8,0.25301325019754295
138,qp03wb,0.1428456253355369
